Code,Name,Type,Latitude,Longitude,Sector,Open/Closed,State,Local_Hospital_Network_(LHN),Primary_Health_Network_area_(PHN),Min_Beds,Max_Beds,Website,Elective_Surgery_High_Level,Elective_Surgery_Low_Level,Establishment_ID,Medicare_provider_no,Network_code,Hospital_Network,Remoteness_area,Number_of_available_beds,Peer_group_name,Establishments_data,Morbidity_data,Emergency_department_data,Elective_Surgery_Waiting_times_data,Non_admitted_patient_aggregate_data,IHPA_funding_designation,Phone_number,Street_address,Suburb,Postcode
H0262,West Wimmera Health Service [Jeparit],Hospital,-36.141132,141.984686,Public,Open,Victoria,West Wimmera Health Service,Western Victoria,50,50,www.wwhs.net.au/,,,210202373,0,277,West Wimmera Health Service,Outer Regional,4,Very small,Yes,Yes,No,No,No,Block-funded hospital,03 5391 4222,2 Charles Street,Jeparit,3423
H0267,Dimboola District Hospital,Hospital,-36.449887,142.024286,Public,Open,Victoria,Wimmera Health Care Group,Western Victoria,50,50,,,,210203180,0,275,Wimmera Health Care Group,Outer Regional,4,Public acute group D,Yes,Yes,No,No,No,Activity-based funded hospital,03 5389 1301,32-36 Anderson Street,Dimboola,3414
H0278,Maryborough District Health Service [Maryborough],Hospital,-37.044781,143.737692,Public,Open,Victoria,Maryborough District Health Service,Western Victoria,50,50,,,,210301352,0,207,Maryborough District Health Service,Inner Regional,4,Very small,Yes,Yes,No,No,No,Activity-based funded hospital,03 5461 0333,75-87 Clarendon Street,Maryborough,3465
H0287,Mallee Track Health & Community Service [Ouyen],Hospital,-35.074349,142.312345,Public,Open,Victoria,Mallee Track Health and Community Service,Murray,50,50,,,,210302390,0,280,Mallee Track Health and Community Service,Outer Regional,4,Very small,Yes,Yes,No,No,Yes,Block-funded hospital,03 5092 1111,28 Britt Street,Ouyen,3490
H0288,Maldon Hospital,Hospital,-36.992672,144.063677,Public,Open,Victoria,Maldon Hospital,Murray,50,50,www.maldon.org.au,,,210302590,0,216,Maldon Hospital,Inner Regional,4,Very small,Yes,Yes,No,No,No,Block-funded hospital,03 5475 2000,Chapel Street,Maldon,3463
H0322,Omeo District Health,Hospital,-37.098142,147.597321,Public,Open,Victoria,Omeo District Health,Gippsland,50,50,www.gha.net.au/odh,,,210502040,0,258,Omeo District Health,Outer Regional,4,Very small,Yes,Yes,No,No,Yes,Block-funded hospital,03 5159 0100,12 Easton Street,Omeo,3898
H0414,Eidsvold Hospital,Hospital,-25.382639,151.125494,Public,Open,Queensland,Wide Bay,"Central Queensland, Wide Bay and Sunshine Coast",50,50,www.health.qld.gov.au/services/widebay/wb-eidsvold.asp,,,310000065,0,318,Wide Bay,Outer Regional,4,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital,07 4165 7100,Cracow Road,Eidsvold,4627
H0441,Augathella Hospital,Hospital,-25.796104,146.590919,Public,Open,Queensland,South West (Qld),Western Queensland,50,50,www.health.qld.gov.au/services/southwest/swest_auga_hosp.asp,,,310000111,0,326,South West (Qld),Very remote,4,Very small,Yes,Yes,No,No,Yes,Block-funded hospital,07 4656 7100,Cavanagh Street,Augathella,4477
H0451,Surat Hospital,Hospital,-27.156595,149.063787,Public,Open,Queensland,South West (Qld),Western Queensland,50,50,www.health.qld.gov.au/services/southwest/swest_surat_hosp.asp,,,310000121,0,326,South West (Qld),Remote,4,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital,07 4626 5166,Ivan Street,Surat,4417
H0452,Alpha Hospital,Hospital,-23.649039,146.632962,Public,Open,Queensland,Central West (Qld),Western Queensland,0,0,,,,310000131,0,317,Central West (Qld),Very remote,4,Very small,Yes,Yes,No,No,Yes,Block-funded hospital,07 4809 7000,Gordon Street,Alpha,4724
H0558,Karoonda and District Soldiers' Memorial Hospital,Hospital,-35.094226,139.889429,Public,Open,South Australia,Country Health SA,Country SA,50,50,www.sahealth.sa.gov.au/karoondahospital,,,41HM00118,0,404,Country Health SA,Outer Regional,4,Very small,Yes,Yes,No,No,Yes,Block-funded hospital,08 8579 1111,13 Stokes Road,Karoonda,5307
H0572,Laura and District Hospital,Hospital,-33.174925,138.298687,Public,Open,South Australia,Country Health SA,Country SA,50,50,www.sahealth.sa.gov.au/laurahospital,,,41MN00130,0,404,Country Health SA,Outer Regional,4,Very small,Yes,Yes,No,No,Yes,Block-funded hospital,08 8663 2568,Mill Street,Laura,5480
H0579,Hawker Memorial Hospital,Hospital,-31.893389,138.427841,Public,Open,South Australia,Country Health SA,Country SA,50,50,www.sahealth.sa.gov.au/hawkerhospital,,,41NF00103,0,404,Country Health SA,Outer Regional,4,Very small,Yes,Yes,No,No,Yes,Block-funded hospital,08 8648 4007,Cradock Road,Hawker,5434
H0612,Snowtown Hospital and Health Service,Hospital,-33.786936,138.212768,Public,Open,South Australia,Country Health SA,Country SA,50,50,www.sahealth.sa.gov.au/snowtownhospital,,,41WK00220,0,404,Country Health SA,Outer Regional,4,Very small,Yes,Yes,No,No,Yes,Block-funded hospital,08 8865 0100,South Terrace,Snowtown,5520
H0662,North Midlands Health Service,Hospital,-29.534221,115.759184,Public,Open,Western Australia,WA Country Health Service,Country WA,50,50,www.health.wa.gov.au/services/detail.cfm?Unit_ID=136,,,611000064,0,604,0,Outer Regional,4,Very small,Yes,Yes,No,No,No,Block-funded hospital,08 9954 3200,Thomas Street,Three Springs,6519
H0663,Kalbarri Health Centre,Hospital,-27.712843,114.161574,Public,Open,Western Australia,WA Country Health Service,Country WA,50,50,www.health.wa.gov.au/services/detail.cfm?Unit_ID=227,,,510600475,0071580K,503,WA Country Health Service,Remote,4,Very small,Yes,Yes,No,No,Yes,Block-funded hospital,08 9937 0100,Kaiber Street,Kalbarri,6536
H0665,Lake Grace Hospital,Hospital,-33.102524,118.452658,Public,Open,Western Australia,WA Country Health Service,Country WA,50,50,www.health.wa.gov.au/services/detail.cfm?Unit_ID=102,,,510700230,0070440W,503,WA Country Health Service,Remote,4,Very small,Yes,Yes,No,No,Yes,Block-funded hospital,08 9890 2222,Stubbs Street,Lake Grace,6353
H0670,York Hospital,Hospital,-31.894392,116.757416,Public,Open,Western Australia,WA Country Health Service,Country WA,50,50,www.health.wa.gov.au/services/detail.cfm?Unit_ID=199,,,510700251,0070830B,503,WA Country Health Service,Inner Regional,4,Very small,Yes,Yes,No,No,Yes,Block-funded hospital,08 9641 0200,Trews Road,York,6302
H0671,Beverley Hospital,Hospital,-32.102825,116.922962,Public,Open,Western Australia,WA Country Health Service,Country WA,50,50,www.health.wa.gov.au/services/detail.cfm?Unit_ID=18,,,510700401,0070060H,503,WA Country Health Service,Outer Regional,4,Very small,Yes,Yes,No,No,Yes,Block-funded hospital,08 9646 3200,Sewell Street,Beverley,6304
H0673,Bruce Rock Memorial Hospital,Hospital,-31.873038,118.146414,Public,Open,Western Australia,WA Country Health Service,Country WA,50,50,www.health.wa.gov.au/services/detail.cfm?Unit_ID=25,,,510700403,0070120K,503,WA Country Health Service,Remote,4,Very small,Yes,Yes,No,No,Yes,Block-funded hospital,08 9061 1311,35 Dunstall Street,Bruce Rock,6418
H0676,Dalwallinu Hospital,Hospital,-30.277229,116.656544,Public,Open,Western Australia,WA Country Health Service,Country WA,50,50,www.health.wa.gov.au/services/detail.cfm?Unit_ID=45,,,510700406,0070230F,503,WA Country Health Service,Remote,4,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital,08 9661 0200,Myers Street,Dalwallinu,6609
H0679,Goomalling Hospital,Hospital,-31.303928,116.831102,Public,Open,Western Australia,WA Country Health Service,Country WA,50,50,www.health.wa.gov.au/services/detail.cfm?Unit_ID=70,,,510700411,0070320B,503,WA Country Health Service,Outer Regional,4,Very small,Yes,Yes,No,No,Yes,Block-funded hospital,08 9629 0100,Forrest Street,Goomalling,6460
H0697,Gnowangerup Hospital,Hospital,-33.930469,118.002927,Public,Open,Western Australia,WA Country Health Service,Country WA,50,50,www.health.wa.gov.au/services/detail.cfm?Unit_ID=68,,,510900410,0070330A,503,WA Country Health Service,Remote,4,Very small,Yes,Yes,No,No,Yes,Block-funded hospital,08 9827 2222,Yougenup Road,Gnowangerup,6335
H0699,Ravensthorpe Health Centre,Hospital,-33.584918,120.045461,Public,Open,Western Australia,WA Country Health Service,Country WA,50,50,www.health.wa.gov.au/services/detail.cfm?Unit_ID=157,,,510900430,0070980K,503,WA Country Health Service,Very remote,4.2,Very small,Yes,Yes,No,No,Yes,Block-funded hospital,08 9838 2211,Martin Street,Ravensthorpe,6346
H0686,Wongan Hills Hospital,Hospital,-30.894159,116.724843,Public,Open,Western Australia,WA Country Health Service,Country WA,50,50,www.health.wa.gov.au/services/detail.cfm?Unit_ID=193,,,510700437,0070810H,503,WA Country Health Service,Outer Regional,4.3,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital,08 9691 1222,Ackland Street,Wongan Hills,6603
H0685,Southern Cross Hospital,Hospital,-31.230709,119.337829,Public,Open,Western Australia,WA Country Health Service,Country WA,50,50,www.health.wa.gov.au/services/detail.cfm?Unit_ID=169,,,510700431,0070720J,503,WA Country Health Service,Remote,4.5,Very small,Yes,Yes,No,No,Yes,Block-funded hospital,08 9081 2222,Coolgardie Road (Great Eastern Highway),Southern Cross,6426
H0708,Nannup Hospital,Hospital,-33.982797,115.76723,Public,Open,Western Australia,WA Country Health Service,Country WA,0,0,,,,511000422,0070630K,503,WA Country Health Service,Outer Regional,4.6,Very small,Yes,Yes,No,No,Yes,Block-funded hospital,08 9756 3800,Carey Street,Nannup,6275
H0693,Norseman Hospital,Hospital,-32.198566,121.767663,Public,Open,Western Australia,WA Country Health Service,Country WA,50,50,www.health.wa.gov.au/services/detail.cfm?Unit_ID=134,,,510800424,0070610T,503,WA Country Health Service,Very remote,4.7,Very small,Yes,Yes,No,No,Yes,Block-funded hospital,08 9039 9200,Talbot Street,Norseman,6443
H0172,Hillston Hospital,Hospital,-33.478793,145.539032,Public,Open,New South Wales,Murrumbidgee,Murrumbidgee,50,50,,,,1184R2080,0011440W,114,Murrumbidgee,Remote,5,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital,02 6961 7200,48C Burns Street,Hillston,2675
H0176,Lockhart Hospital,Hospital,-35.222378,146.719064,Public,Open,New South Wales,Murrumbidgee,Murrumbidgee,50,50,,,,1184R2130,0011610T,114,Murrumbidgee,Outer Regional,5,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital,02 6930 7100,53-55 Hebden Street,Lockhart,2656
H0236,Hesse Rural Health Service [Winchelsea],Hospital,-38.243369,143.985357,Public,Open,Victoria,Hesse Rural Health Service (Winchelsea),Western Victoria,50,50,,,,210101500,0,229,Hesse Rural Health Service (Winchelsea),Inner Regional,5,Very small,Yes,Yes,No,No,No,Block-funded hospital,03 5267 1200,8 Gosney Street,Winchelsea,3241
H0243,Heywood Rural Health,Hospital,-38.137788,141.624256,Public,Open,Victoria,Heywood Rural Health,Western Victoria,50,50,www.heywoodruralhealth.com.au,,,210102350,0,285,Heywood Rural Health,Outer Regional,5,Very small,Yes,Yes,No,No,No,Block-funded hospital,03 5527 1204,21 Barclay Street,Heywood,3304
H0426,Wondai Hospital,Hospital,-26.323335,151.878658,Public,Open,Queensland,Darling Downs,Darling Downs and West Moreton,50,50,www.health.qld.gov.au/services/darlingdowns/ddowns-wondai-hs.asp,,,310000077,0,325,Darling Downs,Outer Regional,5,Very small,Yes,Yes,No,No,Yes,Block-funded hospital,07 4169 2600,Bramston Street,Wondai,4606
